0.513,0.474,0.5,0.488,0.44,0.58
0.464,0.487,0.5,0.312,0.425,0.499
0.495,0.469,0.5,0.3,0.424,0.401
0.449,0.436,0.5,0.093,0.351,0.191
0.407,0.424,0.5,0.14,0.266,0.184
0.414,0.382,0.5,0.089,0.293,0.076
0.399,0.412,0.5,0,0.231,0.097
0.362,0.345,0.5,0.006,0.212,0.062
0.376,0.386,0.5,0.075,0.203,0.131
0.369,0.351,0.5,0.025,0.182,0.04
0.338,0.315,0.5,0.006,0.165,0.042
0.335,0.293,0.5,0.025,0.177,0.041
0.347,0.288,0.5,0,0.144,0.029
0.263,0.231,0.5,0.025,0.107,0.018
0.275,0.221,0.5,0,0.065,0.081
0.261,0.294,0.5,0,0.108,0.04
0.254,0.25,0.5,0,0.057,0.072
0.275,0.214,0.5,0,0.048,0.016
0.205,0.228,0.5,0,0.027,0.011
0.211,0.218,0.5,0.01,0.031,0.016
0.207,0.201,0.5,0,0.018,0.008
0.187,0.155,0.5,0,0.034,0.009
0.169,0.145,0.5,0.01,0.023,0.007
0.18,0.17,0.5,0,0.013,0.006
0.142,0.146,0.5,0,0.014,0.017
0.131,0.145,0.5,0,0.014,0.002
0.131,0.14,0.5,0,0.006,0.03
0.126,0.131,0.5,0,0.012,0.005
0.13,0.115,0.5,0.005,0.017,0.006
0.106,0.104,0.5,0,0.005,0.011
0.11,0.131,0.5,0,0.03,0.006
0.091,0.095,0.5,0,0.006,0.006
0.094,0.105,0.5,0,0.015,0.004
0.086,0.053,0.5,0,0.003,0.004
0.058,0.089,0.5,0,0.012,0.002
0.069,0.051,0.5,0,0.002,0.004
0.067,0.05,0.5,0.005,0.022,0.003
0.059,0.038,0.5,0,0.007,0.004
0.053,0.073,0.5,0,0.004,0.006
0.037,0.035,0.5,0,0.006,0.002
0.055,0.037,0.5,0,0.013,0.007
0.047,0.029,0.23,0,0.005,0.006
0.045,0.04,0.5,0,0.009,0.003
0.03,0.025,0.246,0,0.008,0.005
0.031,0.034,0.5,0,0.005,0.004
0.031,0.025,0.252,0,0.004,0.006
0.03,0.019,0.5,0,0.005,0.003
0.023,0.012,0.273,0.008,0.008,0.002
0.021,0.007,0.194,0.006,0.012,0.007
0.015,0.015,0.5,0,0.007,0.001
0.015,0.013,0.5,0,0.005,0.002
0.019,0.013,0.5,0.002,0.006,0.003
0.009,0.021,0.5,0,0.003,0
0.008,0.004,0.286,0,0.004,0.004
0.01,0.013,0.5,0,0.003,0.006
0.005,0.004,0.5,0,0.004,0.004
0.011,0.006,0.313,0,0.009,0.003
0.007,0.007,0.28,0,0.004,0.003
0.008,0.007,0.231,0,0.005,0.003
0.002,0.005,0.209,0,0.004,0.004
0.008,0.003,0.171,0,0.011,0.004
0.006,0.007,0.278,0,0.005,0.003
0.004,0.001,0.18,0,0.004,0.005
0.003,0.002,0.207,0,0.004,0.005
0.006,0.003,0.197,0,0.005,0.004
0.009,0.004,0.214,0,0.009,0.002
0.003,0.003,0.173,0,0.005,0.003
0.004,0.002,0.208,0,0.004,0.003
0.005,0.005,0.5,0,0.005,0.003
0,0,0.171,0,0.003,0.002
0,0,0.197,0,0.003,0.005
0,0,0.354,0,0.003,0.003
0.001,0.002,0.244,0,0.003,0.002
0.002,0,0.19,0,0.005,0.003
0,0.001,0.246,0,0.003,0.004
0,0,0.205,0,0.003,0.002
0,0,0.171,0,0.003,0.003
0,0,0.211,0,0.003,0.004
0,0,0.213,0,0.003,0.002
0.001,0,0.166,0.001,0.003,0.003
0,0,0.205,0,0.003,0.002
0.001,0,0.214,0.001,0.004,0.004
0,0,0.185,0,0.003,0.003
0.001,0,0.173,0,0.004,0.003
0,0,0.202,0,0.003,0.005
0,0,0.168,0,0.003,0.002
0,0,0.174,0,0.003,0.003
0,0,0.244,0,0.003,0.003
0,0,0.153,0,0.003,0.006
0,0,0.154,0,0.003,0.004
0,0,0.117,0,0.003,0.004
0,0,0.185,0,0.003,0.008
0,0,0.171,0,0.003,0.004
0,0,0.164,0,0.003,0.005
0,0,0.143,0,0.003,0.006
0,0,0.155,0,0.003,0.002
0,0,0.181,0,0.003,0.003
0,0,0.122,0,0.003,0.003
0,0,0.152,0,0.003,0.003
0,0,0.172,0,0.003,0.003
